CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
92383,48.594,2.2815
12686ECC,39.7948,-6.3855
88902AS,48.0797,-1.7291
100519769,41.7319,1.8361
100585545,38.1625,-1.2957
100565147,40.5907,-3.547
100543875,43.2752,-8.5815
100580374,42.8275,-1.6038
89239B,44.0287,4.5821
100564138,42.1925,0.3373
100001401,42.2594,-8.6733
100562736,38.2975,-0.5783
100571864,42.1601,-8.6221
30031,38.1269,-0.8733
90275I13,45.5872,8.2705
13032,45.3101,4.2851
C106205,41.2122,1.2047
1426,39.4805,-0.5686
100525470,43.2427,-8.901
38459,43.3253,-3.1131
92466,52.5089,-2.1615
91535,45.2923,5.6251
92330,48.6057,7.4961
100528355,37.351,-5.8545
100533237,43.2437,-2.8951
11422,37.1186,-4.3094
100573924,39.5483,-6.4361
100515928,40.1224,-3.8059
100545346,42.9142,-8.0125
100572510,40.9891,-8.583
12395NA,42.3339,-1.8159
12866SA,42.2137,2.5909
83664,51.0032,7.6026
80341A,41.0193,-8.6068
90957ZAN,45.6446,9.6949
C16205,41.1646,1.1705
1218,38.984,-0.5511
100570043,37.0048,-4.328
13092_00EY,45.1561,5.7412
100534413,42.5445,-8.9863
12608,41.5422,1.8864
90175,45.8323,4.9764
82671,50.688,7.6302
100585570,40.796,-3.6932
C36205,41.9266,0.1642
24836859-RUTA1-20,41.3664,2.1646
100563426,36.9813,-5.9409
100585613,43.0002,-8.0913
100001015,37.5744,-0.93
100576146,42.316,-7.9551
100531812,42.1601,-8.6221
C01205,40.3347,-3.8874
100585402,37.2166,-1.9337
100585357,37.7706,-1.2181
2847386,52.4168,4.8358
83913_00GR,43.6452,6.9414
88736,51.4363,6.2691
10411CAB,40.6175,-3.2063
86917,51.2728,16.7086
100583041,41.5929,-3.2658
100583820,42.5749,-7.9128
1005,43.1239,-7.6322
100524473,43.3235,-7.5746
100569667,38.8935,-3.6471
100578988,38.0113,-3.3716
100547358,43.9677,1.3395
49256,40.3976,-3.6844
12791,37.3076,-5.89
12162,43.2186,-2.0212
100537341,43.946,2.9003
100572005,38.628,-0.8649
100562782,38.7614,-9.1918
100516131,42.8132,-1.7453
82583Y,46.6372,1.2879
92400,50.8684,8.6049
86917A,51.182,22.6025
100579716,38.1298,-1.1558
100584560,39.2906,-7.4317
10411FAR,40.2582,-3.766
100540361,40.1172,-8.4966
88665,41.2611,-8.4858
82583_01HA,52.3647,5.6482
100550701,40.3858,-3.4764
100542846,39.4951,-0.6845
12746,42.3465,-7.8009
85139A,47.9481,12.2708
12395D,41.7381,-0.8455
40076,42.7556,-3.0276
100573560,40.5782,-3.5852
100001442,35.8889,-5.3194
100585585,37.0052,-4.3292
100545514,37.9211,-8.7858
100579271,42.4726,-3.6901
789526,41.8817,-0.7629
100573077,38.8902,-4.0473
100573758,39.1577,-8.7891
90294,49.2427,11.0945
88150A,45.7315,9.5844
100521895,37.7228,-3.9663
100544784,45.6943,-0.1913
91141A,52.1321,4.6174
100544217,40.9514,-7.8718
81568CC,48.192,3.2645
12515,41.0097,0.9123
92400B,51.1209,14.1804
100579676,43.2256,-2.0273
86425OV,40.8814,-8.633
100579815,38.9273,-9.1784
