CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
24872559-RUTA2-20,45.6368,8.8342
24873570-RUTA2-20,45.6368,8.8342
24872929-RUTA2-20,45.6368,8.8342
24874114-RUTA2-20,45.6368,8.8342
100560136,43.5496,-5.6932
100548186,37.2375,-4.5472
174,39.5212,-0.4728
1439,41.1398,1.2238
100563480,40.8567,-4.7226
100566384,39.0062,-7.249
100577978,41.3373,-6.6545
100581536,41.216,-5.1122
24873543-RUTA2-20,45.6368,8.8342
24874760-RUTA2-20,45.6368,8.8342
24874758-RUTA2-20,45.6368,8.8342
24873307-RUTA2-20,45.6368,8.8342
24872704-RUTA2-20,45.6368,8.8342
24873310-RUTA2-20,45.6368,8.8342
24876356-RUTA2-20,45.6368,8.8342
24826646-RUTA2-20,45.6368,8.8342
